time,dt,max_concentration,min_concentration,total_energy,volume_fraction
0,0,0.5295906303267,0.48048916795129,319.06063968387,1
1,1,0.53483749884966,0.47424783163635,318.85655777916,1
2.1,1.1,0.54749714839693,0.46518074270232,318.43376508481,1
