time,dt,max_concentration,min_concentration,total_energy,volume_fraction
0,0,0.5295906303267,0.48048916795129,319.06063968387,1
1,1,0.53299561793016,0.47875672878507,318.84054289057,1
2.1,1.1,0.53724099740104,0.47561009205125,318.49898194065,1
3.31,1.21,0.54243024757386,0.4679638870834,317.91550211544,1
4.641,1.331,0.55256516829437,0.45361921536262,316.77499944566,1
6.1051,1.4641,0.58081721453844,0.43297618670416,314.14021845068,1
7.5692,1.4641,0.61055852910487,0.40935874048915,308.32845828696,1
9.0333,1.4641,0.63603298221942,0.38053004440954,296.66328227144,0.9967
10.4974,1.4641,0.65574577507217,0.35659531094382,277.94242134148,0.94485
11.9615,1.4641,0.66941873596316,0.33884173010039,256.05748640188,0.82905
13.4256,1.4641,0.67922274485564,0.32437104424547,237.77550871118,0.7507
14.8897,1.4641,0.68676902999815,0.31349580983331,226.02802681777,0.71005
16.3538,1.4641,0.69367422085339,0.30597457358901,219.37148363533,0.6872
17.8179,1.4641,0.69833240945666,0.30089839539709,215.45962270434,0.6724
19.282,1.4641,0.70107095952828,0.29758732318092,212.75334889908,0.6633
20.7461,1.4641,0.70260861361523,0.29542884753071,210.51735390371,0.658
22.2102,1.4641,0.70338923415222,0.29399480078252,208.45204133635,0.6533
23.6743,1.4641,0.70385338921671,0.29301019978643,206.44270851117,0.64915
25.1384,1.4641,0.7043303194889,0.29231160087122,204.44453902614,0.6466
26.74891,1.61051,0.70462030326117,0.29177198378587,202.23629953109,0.64495
28.520471,1.771561,0.70485903682533,0.29137117889261,199.78223387068,0.6408
30.292032,1.771561,0.70506851757063,0.29111358427692,197.29912223615,0.639
32.063593,1.771561,0.70514821670577,0.29097060394047,194.78729366186,0.6367
33.835154,1.771561,0.70514258511098,0.29092343279557,192.24859677929,0.63355
35.606715,1.771561,0.70507932564945,0.2909598391206,189.68807442034,0.63175
37.378276,1.771561,0.705012474388,0.29107087889477,187.11364059335,0.6305
39.149837,1.771561,0.70533724157211,0.2910786739253,184.53327659408,0.626
40.921398,1.771561,0.70567724261107,0.29113519807503,181.95173826644,0.623825
42.692959,1.771561,0.70597160452297,0.29123932571164,179.36591841039,0.622075
44.46452,1.771561,0.70622219966837,0.29139255866827,176.76705918413,0.620925
46.236081,1.771561,0.7064306621619,0.29159895887168,174.16707191606,0.618575
48.007642,1.771561,0.70659736286533,0.29186532931265,171.61295775843,0.614725
49.779203,1.771561,0.70679374771047,0.29220164195729,169.13669018871,0.614075
51.550764,1.771561,0.70700432532392,0.29262166567755,166.74129171987,0.612475
53.322325,1.771561,0.70721831632143,0.29314366523757,164.41373272812,0.611475
55.093886,1.771561,0.7074419124709,0.29379095174746,162.15021579773,0.610675
56.865447,1.771561,0.70764055331502,0.29414736765567,159.96843603975,0.608625
58.637008,1.771561,0.70781220332594,0.29364937482998,157.87611551939,0.606575
60.408569,1.771561,0.70795539538967,0.29294603476065,155.87796300648,0.606725
62.18013,1.771561,0.70806995866112,0.29248062161653,153.95399165042,0.605375
63.951691,1.771561,0.70819129946789,0.29220509690732,152.16093295479,0.604525
65.723252,1.771561,0.70829925384448,0.29199862249135,150.54090742878,0.604275
67.494813,1.771561,0.70839654617899,0.29190674000466,149.06785476201,0.601525
69.4435301,1.9487171,0.70851194035134,0.29191665720142,147.57755320866,0.600725
71.58711891,2.14358881,0.70862863736395,0.29203561617458,146.05715219449,0.598725
73.73070772,2.14358881,0.70872805715189,0.29225057577859,144.63425359451,0.597825
75.87429653,2.14358881,0.70882141263175,0.2925647584855,143.29345096656,0.597175
78.01788534,2.14358881,0.70889702234546,0.29298859326136,142.02372622071,0.596325
80.16147415,2.14358881,0.70895538233421,0.2933560518261,140.81507758914,0.595725
82.30506296,2.14358881,0.7089981838991,0.29333246474669,139.65620053704,0.594725
84.44865177,2.14358881,0.70903166481739,0.29338937132606,138.53546401284,0.594875
86.59224058,2.14358881,0.70905831376036,0.29351292502727,137.44449073575,0.594625
88.73582939,2.14358881,0.70907438912589,0.29364326239268,136.37488463605,0.593075
90.8794182,2.14358881,0.70908144112803,0.29373708812446,135.31732495165,0.591625
93.02300701,2.14358881,0.70908027320307,0.29380674176807,134.31224188125,0.590325
95.16659582,2.14358881,0.70907081085622,0.29384754810128,133.3929794486,0.588075
97.31018463,2.14358881,0.70905202567811,0.29386541236275,132.55194835158,0.588075
99.668132321,2.357947691,0.70901611590939,0.29387168763004,131.70187923619,0.588225
102.2618747811,2.5937424601,0.70895469616851,0.29387629663594,130.8389498565,0.587125
105.11499148721,2.85311670611,0.70885307344388,0.29389345382317,129.95725865702,0.586975
107.96810819332,2.85311670611,0.7087300609918,0.29393377064315,129.12786965409,0.585075
110.82122489943,2.85311670611,0.70855909922433,0.29401028400623,128.33579717923,0.584725
113.67434160554,2.85311670611,0.70833051140386,0.29406879390549,127.5609270235,0.585075
116.52745831165,2.85311670611,0.70816271529543,0.29413781111364,126.76025023939,0.583525
119.38057501776,2.85311670611,0.70794098778554,0.29423679850417,125.97415782357,0.582275
122.23369172387,2.85311670611,0.70765989436652,0.29436703137863,125.2686625004,0.582825
125.08680842998,2.85311670611,0.70731002012735,0.29453046378689,124.62758991049,0.582475
127.93992513609,2.85311670611,0.70687332153085,0.29456072734383,124.02821144069,0.581925
131.07835351281,3.138428376721,0.70625229400145,0.2946017734506,123.40077114234,0.580975
134.5306247272,3.4522712143931,0.70587424331461,0.29469142884004,122.73686501872,0.580375
138.32812306304,3.7974983358324,0.70589813305744,0.29465669701921,122.03002015066,0.580625
